strategy,trades,win_rate,pf,pnl,max_dd,days_over_500,rr,adx_filter,rsi_filter
MACD + Zero Line,236,32.6271186440678,0.9712625959400898,-240.38686752320461,14.35532463618685,0,2.0,15,"(30, 70)"
MACD+Stochastic,31,29.03225806451613,0.9630835625187699,-39.77546146937672,5.855281284877276,0,2.0,15,"(30, 70)"
MACD + Zero Line,242,34.710743801652896,0.9619661903672263,-317.80531474524264,14.66087781633654,0,1.8,15,"(30, 70)"
MACD + Zero Line,162,39.50617283950617,0.9600340739689045,-212.4817167009796,9.368692834036816,0,1.5,25,"(25, 75)"
MACD + Zero Line,255,34.509803921568626,0.9550966884858209,-397.02570615496813,13.881243634905157,0,1.8,15,"(25, 75)"
MACD + Zero Line,168,38.69047619047619,0.9532974294587937,-255.81542423796253,14.174842194148676,0,1.5,20,"(35, 65)"
MACD + Zero Line,219,43.83561643835616,0.9487245659560676,-331.4914741516162,13.356199951171863,0,1.2,20,"(25, 75)"
MACD+Stochastic,38,31.57894736842105,0.9445128637705602,-70.55815233503168,5.8821321160453035,0,1.8,25,"(25, 75)"
MACD + Zero Line,203,38.91625615763547,0.9440585202015815,-368.7533201490469,15.800426755632852,0,1.5,20,"(30, 70)"
MACD + Zero Line,247,39.27125506072874,0.9376646272793435,-500.5888530186471,13.385062531062697,0,1.5,15,"(30, 70)"
MACD + Zero Line,123,43.90243902439025,0.9365951217922437,-235.31178719658186,9.33876534053273,0,1.2,25,"(35, 65)"
MACD+Stochastic,41,24.390243902439025,0.9354851278854169,-100.67693301610078,8.314143644060461,0,2.5,20,"(25, 75)"
MACD+Stochastic,31,32.25806451612903,0.9335255963530629,-69.87360600062905,5.246458364214279,0,1.8,15,"(30, 70)"
MACD + Zero Line,204,43.627450980392155,0.932642936008228,-407.84902463641606,13.657500980922222,0,1.2,20,"(30, 70)"
MACD + Zero Line,262,38.93129770992366,0.9241424056967712,-649.6040357862298,13.43827841622501,0,1.5,15,"(25, 75)"
MACD + Zero Line,216,38.425925925925924,0.9219667650250425,-553.344121660526,16.544679982321735,0,1.5,20,"(25, 75)"
MACD + Zero Line,169,43.19526627218935,0.9087414443922375,-466.586834498833,13.988725972857011,0,1.2,20,"(35, 65)"
MACD+Stochastic,31,25.806451612903224,0.8853199036981563,-135.18785885402028,5.535616288866371,0,2.5,15,"(30, 70)"
MACD+Stochastic,38,23.684210526315788,0.8437700212666942,-226.47258486066875,7.769130788530678,0,2.5,25,"(25, 75)"
